point,role,source_branch,source_commit,mode,scenario,workload,payload_first_valid_cycle,packet_last_cycle,payload_stream_cycles,selected_k,payload_bits,payload_bytes,packet_bytes,input_stall_cycles,output_stall_cycles,payload_byte_exact,packet_byte_exact,decoder_loopback,fresh_replay_status
stage16c3,baseline,stage16c3-prefix-during-capture,327c463896bda94c60eb2b47d3c3dfc61a183367,PREFIX_FAST_STREAM_LENGTH_CAPTURE_PREFIX,prefix_capture_zero_sparse,smoke_zero_sparse,1169,8861,7693,0,2158,270,334,0,0,1,1,1,pass
stage16d2,optimized,stage16d2-integrate-lane4-bitpacker,2c1d9a75d2742659b604dd3f9c754096e196d132,PREFIX_FAST_STREAM_LENGTH_CAPTURE_PREFIX_LANE4_BPACK,prefix_lane4_zero_sparse,smoke_zero_sparse,706,1426,721,0,2158,270,334,0,0,1,1,1,pass
